question,answer,answer_orig,document
Can I take this course at my own pace and still receive a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort; certificates are not awarded for self-paced mode.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is a certificate available if I complete the course without joining a live cohort?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced completion does not qualify for a certificate.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do self-paced learners get any certificate for finishing all the materials?,"No, self-paced learners do not get a certificate, even if they finish all the materials. Certificates are only awarded for finishing with a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why are certificates not issued for the self-paced version of the course?,"Certificates are not issued for the self-paced version because the course requires peer-reviewing 3 capstones after you submit your own project, and that peer-review process is only available while the live cohort is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer review of capstone projects required in order to qualify for the certificate?,"Yes. To qualify for the certificate, you must peer-review 3 capstone projects. Not complying with this requirement may prevent you from getting the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors and TAs?,"Students join via **YouTube Live**, not the instructor-only Zoom link.

- The **Zoom link is only for instructors/presenters/TAs**.
- During the live session, students ask questions through **Slido** (the link is pinned in chat when live).
- The live video link is posted in the **announcements channel on Telegram and Slack** before it starts, and you can also watch on the **DataTalksClub YouTube Channel**.

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I look for the live video URL before an Office Hours session starts?,"Look in the **announcements channel on Telegram and Slack** before it starts. The live video URL should be posted there, and you can also watch on the **DataTalksClub YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube, and if so, which channel is used?",Yes — you can watch the workshop live on the DataTalksClub YouTube channel: https://www.youtube.com/c/DataTalksClub.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How are questions supposed to be submitted during the live session instead of posting them in chat?,"Questions should be submitted to **Slido** during the live session, not in the chat. The Slido link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Why shouldn’t I ask questions in the chat during a very active live stream?,"Don’t post questions in chat during a very active live stream because they may be missed if the room is very active. Instead, submit questions to Slido, which is pinned in the chat when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
