question,document
"How do I turn in the course homework, and do I need to upload my code somewhere first?",0e38656cfb
Where can I find the homework assignments and the submission form for this cohort?,0e38656cfb
"Should I complete the tasks on my own machine before submitting, and what link do I need to include?",0e38656cfb
"Will the homework solutions be visible right away after I send the form, or only later?",0e38656cfb
Do I have to share my implementation in a GitHub repo when submitting the assignment?,0e38656cfb
What changed in the 2025 version of the course compared with the earlier one?,226a4baf2f
"Did you replace Flask with FastAPI in the new edition, and if so, where is it used?",226a4baf2f
"Are the neural network lessons now taught with PyTorch, or do you still keep the Keras videos too?",226a4baf2f
"For the deep learning deployment part, which runtime is used on AWS Lambda now instead of TensorFlow Lite?",226a4baf2f
What are the main updated tools or technologies added in the 2025 course release?,226a4baf2f
"Will we be using Jupyter notebooks a lot in this course, or is everything done in regular Python scripts?",4d5aa45b03
"Do the assignments and exercises require notebook work, or can I stick to command-line tools only?",4d5aa45b03
How much of the course is based on Jupyter notebooks versus plain .py files?,4d5aa45b03
Are notebooks an important part of the workflow in this machine learning course?,4d5aa45b03
"Should I expect to do most of the hands-on work in notebooks, with some Python files and CLI use too?",4d5aa45b03
"Do I need to already know machine learning before starting this course, or can a complete beginner follow it?",c7e2b1ef88
Is this course suitable if I have zero background in ML and want to learn from scratch?,c7e2b1ef88
"Will the course teach the math and linear algebra I need, or am I expected to know them beforehand?",c7e2b1ef88
"Does the class begin with the basics, or does it assume some prior machine learning experience?",c7e2b1ef88
"If I’m new to machine learning, will the lessons and exercises help me build up gradually?",c7e2b1ef88
"Does the course repo come preloaded with every FastAPI, uv, and PyTorch update, or are some of them added later during the cohort?",f9c9e0b9eb
"If I want the newest implementation guidance, where should I look for the updated FastAPI+uv workshop or the PyTorch add-on?",f9c9e0b9eb
"When the course changes because of a critical update, do instructors usually edit the existing lesson or point students to a replacement resource?",f9c9e0b9eb
"Will the older theory videos still be useful, even if the hands-on part gets refreshed with newer FastAPI or PyTorch materials?",f9c9e0b9eb
How can I tell whether a module has a newer workshop link instead of the original material?,f9c9e0b9eb
Where can I register for this machine learning course?,8fd8cd336d
Is there a signup link in the course materials or repository?,8fd8cd336d
How do I enroll in the Zoomcamp program?,8fd8cd336d
What’s the registration page for the course?,8fd8cd336d
Can you point me to the form to join the course?,8fd8cd336d
"Is this machine learning course self-paced, or do I have to wait for the next live cohort to start?",9155c70324
"If I want to join with other students, when do the live Zoomcamp cohorts usually begin?",9155c70324
"Can I start watching the course videos right away, or are they only available after a cohort begins?",9155c70324
"Do you offer live Q&A sessions or office hours during the course, and are those recorded somewhere?",9155c70324
Where can I find the course recordings and video playlists for this Zoomcamp?,9155c70324
"Is it a good idea to star the course GitHub repo, and why would that help the class?",9cf1c56e5b
Do you want students to give the Machine Learning Zoomcamp repository a star on GitHub?,9cf1c56e5b
What’s the reason the instructor asks everyone to star the course repository?,9cf1c56e5b
Should I bookmark or star the GitHub project for this machine learning course?,9cf1c56e5b
Will starring the repo make the course easier for other people to find?,9cf1c56e5b
I signed up for the course but never got the Slack email — how can I get access another way?,e0a95572a6
What should I do if the Slack invite message for the machine learning zoomcamp doesn’t show up in my inbox?,e0a95572a6
Is there a way to request a Slack invitation manually instead of waiting for the email?,e0a95572a6
Where do I go to join the course Slack workspace if the automatic invite failed?,e0a95572a6
