question,document,score,reasoning
Can I take this course at my own pace and still receive a certificate at the end?,69d122f12e,good,"The AI answer captures the key point: no certificate is awarded for self-paced mode, and a certificate requires finishing with a live cohort. It omits the explanation about peer reviews, but that is supporting detail, not essential to the core answer."
Is a certificate available if I complete the course without joining a live cohort?,69d122f12e,good,"The AI answer matches the ground truth: it clearly says no certificate is available without a live cohort and that self-paced completion does not qualify. It preserves the key point without introducing contradictions. Although it omits the explanation about peer reviews, that detail is not necessary to answer the question."
Do self-paced learners get any certificate for finishing all the materials?,69d122f12e,good,"The AI answer matches the ground truth: it clearly says self-paced learners do not get a certificate and that certificates are only awarded for completing with a live cohort. It omits the peer-review explanation, but that is extra detail rather than a required key point."
Why are certificates not issued for the self-paced version of the course?,69d122f12e,good,"The AI answer matches the ground truth: it states that certificates are only available for the live cohort, not self-paced, and explains that the required peer-review of 3 capstones can only happen while the course is running. This preserves the key reason and implication."
Is peer review of capstone projects required in order to qualify for the certificate?,69d122f12e,bad,"The AI answer is not semantically equivalent to the ground truth. The ground truth says certificates are only available for the live cohort and not for self-paced mode, because peer review of 3 capstones is only possible while the course is running. The AI answer incorrectly frames peer-reviewing 3 capstones as a general certificate requirement and implies that meeting it is sufficient, missing the key point that self-paced participants cannot get a certificate at all."
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors and TAs?,489dd1c9d9,good,"The AI answer matches the ground truth: it correctly states that students do not use the Zoom link, but instead join via YouTube Live, ask questions through Slido, and can find the live video URL in Telegram/Slack announcements or on the DataTalksClub YouTube channel. It also includes the warning not to post questions in chat. No key information is missing or incorrect."
Where should I look for the live video URL before an Office Hours session starts?,489dd1c9d9,good,"The AI answer matches the ground truth on where to find the live video URL: the announcements channel on Telegram and Slack, and also YouTube. It preserves the key information and omits only extra details about Zoom/Slido/chat, which are not necessary for the question."
"Can I watch the workshop live on YouTube, and if so, which channel is used?",489dd1c9d9,good,"The AI answer correctly states that the workshop can be watched live on the DataTalksClub YouTube channel, which matches the ground truth. It omits some extra details about Slido, announcements, and chat, but those are not essential to the question asked."
How are questions supposed to be submitted during the live session instead of posting them in chat?,489dd1c9d9,good,"The AI answer correctly states that questions should be submitted via Slido and that the Slido link is pinned in chat during the live session. This matches the key point of the original answer. It omits extra details about YouTube Live, Telegram/Slack, and why not to use chat, but those are not necessary for semantic equivalence."
Why shouldn’t I ask questions in the chat during a very active live stream?,489dd1c9d9,good,"The AI answer captures the key point: questions in chat may be missed during a very active live stream, and it directs students to Slido instead. It omits the extra context about YouTube Live and the zoom link, but that is not necessary to answer the question asked."
"I just found this course. Am I still allowed to join now, and does that affect my chance to get a certificate?",74eb249bbf,good,"The AI answer preserves the core meaning: you may still join, but certificate eligibility depends on submitting the project while submissions are open. It adds the detail about finishing with the live cohort and joining too late, which is consistent with the original and not contradictory."
"If I sign up late, what do I need to do in order to still earn the course certificate?",74eb249bbf,good,"The AI answer captures the key requirement from the ground truth: late signup is allowed, but to receive the certificate you must submit your project while submissions are still being accepted. It adds extra conditions about finishing with the live cohort and peer-reviewing 3 capstone projects, but these are not contradictory to the core answer and do not negate the main point. Since the essential information matches, it is semantically equivalent enough."
"Is it okay to start the course after it has already begun, or is there a deadline for joining?",74eb249bbf,bad,"The AI answer does not convey the ground truth. The correct answer is that starting after the course has begun is okay, with the condition that to receive a certificate the project must be submitted while submissions are still being accepted. Saying 'I don't know' misses the key point and is incorrect."
"Can I still submit the final project after joining late, and will that count toward certification?",74eb249bbf,bad,"The AI answer preserves the core point that late joiners can submit the final project only while submissions are still open, and that it counts toward certification under the submission deadline condition. However, it adds an extra peer-review requirement that is not present in the ground truth and may be inaccurate. Since the essential answer is still conveyed, but with potentially misleading additional conditions, this is acceptable only if the semantic equivalence is judged by core content; here the added requirement changes the certification condition materially. Therefore it should be marked bad."
What is the latest point at which I can join the course and still be eligible for a certificate?,74eb249bbf,good,"The AI answer preserves the key condition from the ground truth: late joining is allowed, but certificate eligibility requires submitting the project while submissions are still being accepted. The extra claim about live cohort/self-paced mode is not in the original answer, but it does not contradict the main point asked. Therefore the semantic meaning is effectively the same."
"I registered for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — should I be worried or wait for something to arrive?",977bf7786c,good,"The AI answer preserves the key points from the ground truth: no confirmation email is needed, the participant is accepted, they can start learning and submit homework while the form is open, and registration is only for gauging interest. This is semantically equivalent."
"Do I actually need a confirmation email before I can start the course and submit homework, or can I begin right away?",977bf7786c,good,"The AI answer matches the ground truth: it states no confirmation email is needed, the student is accepted, they can start and submit homework while the form is open, and registration is only for gauging interest. It preserves the key point that no registered list check is required in practical effect."
